cus_id,comment_time,comment_star,cus_comment,kouwei,huanjing,fuwu,shopID,stars,year,month,weekday,hour,comment_len,anger,disgust,fear,sadness,joy,total_emotion_words,coverage,valence,label,dominant_emotion,unique_total_emotion_words,unique_coverage,polarity,unique_count_anger,unique_count_disgust,unique_count_fear,unique_count_sadness,unique_count_joy
小酥酥心糖,2018-05-01 19:48:00,sml-str20,广州 评分 比较 高 的 甜品店 逛 到 这里 来 拔草 在 上下 九 步行街 人 很多 非常 多 超级 多 一座 难求 在 前台 点 完 坐等 上菜 没什么 服务 要 了 一个 排名 第一 的 双皮奶 要 了 一个 芋头 椰汁 黑 凉粉 椰汁 清爽 凉粉 好吃 芋头 很 喜欢 这个 甜品 还 可以 只是 这边 没有 那种 很多 汁 的 甜品 都 是 很小 一碗 没什么 水 不 解渴 双皮奶 断 了 我 和 双皮奶 蛋 奶制品 的 缘分 甜腻 到 受不了 现在 听到 双皮奶 布丁 蛋挞 这种 鸡蛋 和 牛奶 一起 的 东西 就 犯 恶心 不 懂 为啥 好多 人 喜欢 还 评分 高,好,好,好,518986,2.0,2018,5,1,19,272,0.0,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666666,9,1,0.3333333333333333,positive,joy,9,1,positive,0,2,1,0,6
cici1157,2018-04-30 18:29:00,sml-str20,不 好吃 不 好吃 去 的 时候 是 周末 人 比较 多 不过 很快 就 找到 了 位置 一起 拼桌 点单 的 时候 只能 用 现金 比较 有意思 杨枝 甘露 里面 有 菠萝 罐头 我 不 太 懂 其他 来讲 还 行 马蹄 爽喝 起来 有点 齁 嗓子 马蹄 沙沙 的 还 不错 红豆 双皮奶 这个 好 失望 啊 双皮奶 一点 都 不 顺滑 红豆 比较 干比仁 信差 很多 奶 味儿 怪怪的 吃 不 懂,一般,一般,一般,518986,2.0,2018,4,0,18,211,0.0,0.0,0.0,0.25,0.75,4,1,0.5,positive,joy,4,1,positive,0,0,0,1,3
36713779qq,2018-04-29 12:18:00,sml-str20,在 上下 九 步行街 的 一个 尽头 处 大厅 里面 爆满 在 外面 买 的 打包 的 就 很 普通 的 双皮奶 味道 我 吃 起来 还 感觉 腻 而且 没有 红豆 就 整个 一个 吃 冻奶 的 味道 不 知道 为什么 可以 排 那么 多人 应该 是 有 刷 单不多 说 什么 了 啊 差评,一般,一般,好,518986,2.0,2018,4,6,12,166,0.0,0.0,0.0,0.0,1.0,1,1,1.0,positive,joy,1,1,positive,0,0,0,0,1
不如吃茶去,2018-04-17 21:39:00,sml-str20,南信 声明 在外 吃 东西 一看 材料 一看 厨师 像 这种 小店 就算 是 小店 也 不会 有 什么 名厨 主要 还是 看 材料 和 名厨 所以 关键 是 吃 招牌 和 特殊 的 点 了 一个 马蹄 爽 一个 双皮奶 双皮奶 其实 也 就 一般 水平 但是 双皮奶 价格 更 多 了 马蹄 爽 有点 脏兮兮 的 服务员 说 只能 用 现金 态度 也 不太好 不会 再 来,无,无,无,518986,2.0,2018,4,1,21,196,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,3,1,0.3333333333333333,positive,joy,3,1,positive,0,0,0,1,2
Helianthus.,2018-04-17 16:44:00,sml-str20,看到 网上 推荐 来 的 这家 特地来 品尝 结果 有点 小 失望 点餐 要 排队 点 了 牛 三星 双皮奶 还有 炒面 上菜 的 速度 有点 慢 可能 是 人 比较 多 感觉 牛 三星 没有 口感 没有 网上 说 的 诱人 双皮奶 比较 浓 个人感觉 吃 起来 有点 腻 炒面 三十元 蛮大份 的 但是 味道不好 可能 这家 甜品 会 比较 好 下次 可能 会 尝试 点 甜品 其他 面 之类 的 就 不会 再 尝试 了,一般,一般,一般,518986,2.0,2018,4,1,16,221,0.0,0.0,0.0,0.25,0.75,4,1,0.5,positive,joy,4,1,positive,0,0,0,1,3
欧甚先森,2018-04-16 07:13:00,sml-str20,食记 位置 第十 甫 路 号 就是 骑楼 街有 陶陶 居 莲香楼 十月初 五 一类 糕饼店 的 街上 环境 国庆 期间 去 的 人 超级 多 还 没有 进 到 店里 就 开始 排队 了 打包 一个 队伍 堂食 一个 队伍 店铺 比较 小人 有 很多 所以 只好 拼桌 说实话 作为 重庆 人 从来 没有 拼桌 的 习惯 更何况 一个 小桌 挤 六个 人 真的 吃 下去 的 心情 都 没有 了 服务 上餐 速度 也 很慢 同桌 后来 的 都 吃 上 了 我 还 在 傻傻 等待 而且 我要 的 只是 一个 双皮奶 真的 不 知道 在 搞 什么 味道 强烈建议 不要 吃 热 的 双皮奶 真的 一口 下去 就 想 吐 了 还是 冰镇 的 好吃,一般,好,好,518986,2.0,2018,4,0,7,301,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,3,1,0.3333333333333333,positive,joy,3,1,positive,1,0,0,0,2
si_yao',2018-04-10 17:18:00,sml-str20,服务态度 一般 很 一般 收银 态度 差 只能 现金 很 不 方便 杨枝 甘露 的 菠萝 是 罐头 不 好吃 配 的 柚子 口感 一般 放久 了 有些 干 双皮奶 味道 还 不错,很好,好,差,518986,2.0,2018,4,1,17,63,0.0,0.0,0.0,0.0,1.0,2,1,1.0,positive,joy,2,1,positive,0,0,0,0,2
鄙视投机者,2018-03-31 15:02:00,sml-str20,从 大众 点评 发现 的 因为 想 去逛 上下 九 就 顺便 找 的 附近 的 美食 发现 了 这家 店面 不 大人 很多 都 是 慕名而来 的 游客 为主 一张 小小的 桌子 挤下 不 认识 的 两到 三波 人 很 正常 先要 到 里面 收银机 前 点菜 收银 的 女士 不咸不淡 以 收钱 为主 生意 如此 之好 还 需要 什么 服务 吗 除了 杨枝 甘露 其他 真的 一般 特别 是 猪肝 汤偏 咸 等待 点菜 等 上菜 整个 过程 不太 值得,好,一般,差,518986,2.0,2018,3,5,15,231,0.0,0.0,0.0,0.0,1.0,3,1,1.0,positive,joy,3,1,positive,0,0,0,0,3
七宝0708,2018-03-15 18:01:00,sml-str20,这家 店 也 是 上下 九 的 最后 一家 拔草 的 小吃店 也 是 重庆 购物狂 管管 的 广州 美食 帖 推荐 的 一家 不过 这 一家 也 是 最 让 我 失望 的 估计 是 我 吃 不惯 这个 双皮奶 吧 完全 不 觉得 好吃 也 不 知道 是不是 因为 打包带 走 的 放得 有点 久 了 所以 有点 变味 了 哈 环境 环境 也 是 面口 看着 小 其实 里边 挺大 的 但是 也 都 坐满 了 人 因为 她家 最 出名 的 就是 双皮奶 门口 就是 专门 卖 双皮奶 的 从来 没吃过 的 姜撞奶 很 想 尝试 但是 可惜 木有 了 不 知道 是不是 还是 因为 季节 不 对 呀 而且 双皮奶 只能 打包 不能 堂食 然后 店里 的 座位 又 是 说 甜 咸 甜食 一律 不 外卖 有点 搞不清 了 味道 味道 的话 真心 不 喜欢 当然 也 有 可能 是 打包 后 隔 得 时间 太长 了 因为 买 的 时候 店员 就 说 要 趁早 吃 好像 是 半个 小时 内要 吃 完 吧 我 都 没 遵守 那个 规定 因为 觉得 边走边吃 很 难看 呀 而且 着急 赶往 下 一个 吃晚饭 的 地方 大年三十 希望 还是 吃顿 好 的 吧 结果 我 是 在 地铁站 下站 后 在 地铁站 的 座位 上 吃 了 几口 确实 觉得 难吃 然后 就 扔 了 服务 额人 多 的 老店 就是 傲娇 吧 都 不能 堂食 只能 打包 诶 不过 我 下次 再 去 一定 会 再 试试 的 看看 到底 是不是 已经 有点 变味 了 双拼 奶 然后 就是 一定 要 吃 到 姜撞奶 呀 很 好奇 的 从来 没吃过 只 听说 过 希望 不要 再 让 我 失望 吧 下次 可以 到 大厅 里 坐 着 慢慢 吃 其他 的 甜品,一般,一般,一般,518986,2.0,2018,3,3,18,584,0.0,0.0,0.0,0.4166666666666667,0.5833333333333334,12,1,0.16666666666666669,positive,joy,12,1,positive,0,0,0,5,7
*Cathy*C*,2018-02-24 00:40:00,sml-str20,在 他家 吃 了 好些 年 了 没想到 虽然 人气 好像 越来越 旺 可是 味道 却 越来越 不如 以前 了 来 广州 游玩 上下 九 首推 的 几大 特色 就 有 他家 所以 人气 看似 越来越 旺 再 不好 好像 以前 那样 用心 做 估计 会 失去 回头客 的 吧 一直 喜爱 的 水 牛奶 是 越来越 甜 越来越 甜 越来越 甜 实在 太甜 太甜 太甜 了 爱 吃 甜品 的 都 被 齁 着 了 别人 是 打死 卖盐 的 了 他家 是 打死 卖糖 的 了 吧 服务 也 是 人 多 服务 也 就 不怎么样 了 应该 不会 再 来 他家 吃 了,一般,一般,一般,518986,2.0,2018,2,5,0,251,0.2,0.0,0.0,0.1,0.7,10,1,0.3999999999999999,positive,joy,10,1,positive,2,0,0,1,7
咖喱路歪歪儿,2018-02-23 20:59:00,sml-str20,现在 刚刚 吃 完 坐在 南信店 里面 写 的 点评 价格比 上次 贵 了 春节 更新 了 春节 菜单 店 里面 永远 都 那么 多人 进来 要 先 找到 位置 才能 点菜 观察 了 一下 大部分 都 是 游客 点 了 一个 芝麻糊 和 椰汁 红豆 黑糯米 一楼 只收 现金 二楼 收银台 可以 用 支持 移动 支付 点半 之后 就是 漫长 的 等待 差不多 分钟 才 吃 上 虽然 店里 很多 人 但是 还是 觉得 稍微 有点 久 椰汁 红豆 黑糯米 我 没有 吃 就 不 评价 了 黑芝麻糊 给 我 的 感觉 很 不好 虽然 很甜 但是 非常 的 稀 根本 不能 称作 芝麻糊 闻 起来 也 没有 芝麻 的 香气 吃 起来 没有 享受 的 感觉 另外 店 里面 的 工作人员 态度 也 是 非常 不好 表情 像是 欠 了 她们 几百万 一样 问 他们 问题 也 是 敷衍了事 语气 也 很 冲 大概 是 不会 再来 了,一般,好,差,518986,2.0,2018,2,4,20,358,0.0,0.0,0.0,0.0,1.0,2,1,1.0,positive,joy,2,1,positive,0,0,0,0,2
lxz715,2018-02-20 08:06:00,sml-str10,南信 多 有名 相信 大家 都 知道 春节 去 好心 提醒 大家 如果 不想 等等 等 就 换 一家 吃 吧 味道 也 不是 那么 惊艳 的 还要 等 最少 半小时 以上 想想 值不值 吧 我 的 经历 是 点 了 样 吃食 份 甜品 等 了 分钟 云吞面 又 等 了 分钟 才 上 齐 的 等 的 好心 累 特别 是 穿 黑色 工作服 的 阿姨 睁眼 说瞎话 唉 热闹 不好 凑 呀,好,一般,差,518986,1.0,2018,2,1,8,170,0.2,0.0,0.0,0.2,0.6,5,1,0.19999999999999996,positive,joy,5,1,positive,1,0,0,1,3
qixing1201,2018-02-19 17:59:00,sml-str20,虽然 这家 店 名气 很大 但是 味道 真心 一般 排队 要 很 久 上菜 非常 满 位置 很挤 环境 很差 性价比 不是 一般 的 低 进去 先找 座位 再 去 前台 点餐 还 只能 用 现金 相信 很多 朋友 会 有 同感 的 很多 人 都 是 去 吃 牛 三星 的 结果 没有 我们 那 桌点 了 双皮奶 姜撞奶 杨枝 甘露 牛杂 煲 等 了 半个 小时 味道 很 一般 没 比 其它 店 以及 满记 甜品 啥 的 好吃 杨枝 甘露 比较 酸 萝卜 牛杂 还行 吧 同感 的 点赞 我 吧,一般,一般,一般,518986,2.0,2018,2,0,17,240,0.0,0.0,0.0,0.0,1.0,3,1,1.0,positive,joy,3,1,positive,0,0,0,0,3
惟一king,2018-02-12 18:20:00,sml-str10,坐 店里 等 了 五十分钟 到 现在 还 没 上 再 好吃 也 没 兴趣,差,差,差,518986,1.0,2018,2,0,18,24,0.0,0.0,0.0,0.0,1.0,2,1,1.0,positive,joy,2,1,positive,0,0,0,0,2
傻狍子的真爱粉,2018-02-05 22:00:00,sml-str20,这家 甜品店 生意 真的 太 火爆 了 上下 九上 的 店面 都 陆续 开始 打烊 了 他们 店里 还是 满座 的 状态 生意 越 好 服务 都 越 差 吗 服务员 一直 在 那里 喊 先 找 位置 再点 单 没有 位置 不 下单 什么 的 这 倒 也 还好 来 吃 这 的 甜品 一定 要 做好 等 很久很久 的 心理准备 不 等 超过 半小时 他们 不 催单 的 为了 一份 双皮奶 等 了 分钟 吃 了 之后 觉得 特别 不 值得 太甜 了 我 算是 挺能 吃 甜 的 都 觉得 过甜 了 双皮奶 相比 之前 我 吃 过 的 更加 凝固 的 状态 如果 能 稍微 不甜 一点 就 更好 了,一般,一般,一般,518986,2.0,2018,2,0,22,270,0.0,0.0,0.0,0.0,1.0,7,1,1.0,positive,joy,7,1,positive,0,0,0,0,7
周小Q阿,2018-02-05 17:49:00,sml-str20,不敢相信 我 从未见过 哪家 点 这么 牛 逼 哄哄 首先 我们 点 的 是 外卖 再 外面 都 等 的 怀疑 人生 了 很多 人 跟 我们 一样 点 的 是 带走 的 直接 不要 了 离开 了 店里 的 服务员 都 让 大家 不要 等 了 赶 顾客 的 我 真的 是 第一次 见 在 香港 吃 双皮奶 排 的 队 不 比 你家 的 短 外卖 都 是 很快 拿 了 就 走 可能 你们 在 现 做 其次 我 以为 有 多 好吃 结果 腻 的 要死 香港 的 双皮奶 我们 吃 了 两家 又 爽口 又 不腻 还 奶香 十足 这家 还好 我 跟 我 朋友 只点 了 一份 两个 人 吃 一份 双皮奶 都 没 吃 完 可想而知 我 觉得 这么 高 的 分 十有八九 刷 出来 的 味道 没 味道 服务 更是 谈不上 上下 九城 就是 坑 游客 的 一条街 乱七八糟,差,差,差,518986,2.0,2018,2,0,17,322,0.0,0.0,0.0,0.25,0.75,4,1,0.5,positive,joy,4,1,positive,0,0,0,1,3
partyscare,2018-02-03 13:31:00,sml-str20,首先 环境 人 无敌 多 可能 跟 节假日 有关 门口 挤得 不行 但 排队 也 还好 不算 慢 主要 是 进门 后 的 排队 点单 和 等 餐才 叫 一个 慢 其次 服务 进门 后 给 你 指个 位置 就 不管 你 了 也 没人来 提醒 说 要 去 前台 自己 点单 后来 问 路过 服务员 时 得到 了 一个 欠钱 的 脸 和 不耐烦 语气 算了 好不容易 排队 到 前台 点 了 两样 都 被 告知 没有 没有 那 为什么 还 出现 在 菜单 上 也 没 提示 后面 还 一堆 人 因为 上下 九 一路 走 过来 吃 了 肠粉 水果 之前 还 吃 了 两碗 甜品 不 知道 吃点 什么 就 随便 点 了 朋友 之前 提醒 我 千万 不要 点 的 红豆 双皮奶 说 齁 甜 不信邪 的 我 抱 着 怀疑 态度 还是 点 了 这个 块 天价 的 双皮奶 最后 口味 为什么 放在 最后 呢 因为 不 值得一提 甚至 想吐槽 好 的 虽然 我 只 吃 过 双皮奶 之前 来 过 的 朋友 吃 过 其他 几样 也 说 很 不 好吃 同桌 的 小姐姐 看 我点 双皮奶 问 味道 怎么样 我 摇头 她 跟 旁边 男票 说 你 看 我 就 说 双皮奶 很甜 不 好吃 果然 吧 于是 我俩 交流 起 广州 必 打卡 小吃 某记 鱼皮 某华 面店 某湾 甜品 等等 都 觉得 一般 名不副实 甜得 我 想 打人 虽然 奶味 还是 很 的 硬着头皮 吃 了 三分 一 毕竟 一碗,一般,好,一般,518986,2.0,2018,2,5,13,505,0.2222222222222222,0.0,0.0,0.1111111111111111,0.6666666666666666,9,1,0.3333333333333333,positive,joy,9,1,positive,2,0,0,1,6
Mosquito_222,2018-01-29 21:36:00,sml-str20,这个 应该 是 最 不 喜欢 的 甜品店 了 不 懂 为什么 那么 多人 可能 是 网红店 来 的 那天 一大群 旅游团 的 大妈 冲过来 了 说 这个 一定 要 吃 姜撞奶 姜味 好 浓 而且 还 有点 苦 另外 并 没有 尝到 奶味 还 比较 稀 芋头 绿豆沙 芋头 和 百合 都 不沙 比较 硬 不 知道 是 品质 原因 还是 客人 太 多 没有 熬够 时间 反正 不怎么样 综上 小贵 的 网红店 人 多 要 等 很 久 才 上 甜品 分钟 左右 吧 在 广州 还是 吃 百花 吧,一般,好,好,518986,2.0,2018,1,0,21,241,0.0,0.0,0.0,0.0,1.0,2,1,1.0,positive,joy,2,1,positive,0,0,0,0,2
吃饭请叫上我,2018-01-20 12:13:00,sml-str20,原来 我 还 没 评论 过南信 啊 还 没上 大学 前去 广州 找 我姐 就 被 我姐 带来 这里 过 这 也 是 我 一个 潮汕人 对 双皮奶 的 第一印象 后来 大学 工作 陆续 也 来 过 几次 不得不 感慨 真的 是 生意 一天 比 一天 兴隆 出品 一年 不如 一年 啊 现在 基本 都 是 外来 旅游 人士 打卡 本地人 已经 很少 来 了 毕竟 价格 上去 了 品质 下来 了 服务 倒 还是 原地踏步 爱 吃 不吃 双皮奶 还是 不错 的 顺滑 但奶 香味 现在 很 不足 了 广州 和 顺德 双皮奶 一个 甜度 适中 顺滑 白嫩 但奶 香味 不足 双皮 也 不 明显 奶源 一般 吧 顺德 的 奶 香味 重双皮 褶皱 很 明显 但是 甜到 齁 而且 没 那么 顺滑 可能 比较 原生态 吧 服务 超级 差 现在 还 只能 收 现金 路边摊 都 可以 微信 扫码 啦 而且 一言不合 就 看着 店员 在 怼 那些 游客 下单 半个 钟 才能 上 催单 店员 都 直接 当做 没 听到 直接 走开 生意 这么 好 就 请 多 两个 人 啦 还有 价格 那么 贵 芒果 就 买点 好 的 啦,好,好,差,518986,2.0,2018,1,5,12,430,0.0,0.0,0.0,0.0,1.0,7,1,1.0,positive,joy,7,1,positive,0,0,0,0,7
是是但但,2018-01-18 00:22:00,sml-str20,传统 日渐 衰退 的 老店 南信 因 名气 大而 固守 已经 失去 了 创新 与 发展 的 活力 双皮奶 太甜 并 因 传统 的 工艺 或 因 食材 不同 而 失去 了 滑 味道 保持 着 甜 而 失去 了 香 姜撞奶 口感 非常 差 并 带点 涩 姜味 不足 该辣 不辣 凝固 效果 也 不好 用 勺子 轻轻 勺 几下 就 出现 奶 与 水 分离 观感 也 很 差 另外 店大欺客 的 现象 也 实至名归 问 服务员 要 杯水 都 难 传统产业 或 因 固步自封 而 走向 灭亡 希望 老店 自检 后能 焕发 生机 再现 辉煌 吧,一般,一般,差,518986,2.0,2018,1,3,0,248,0.1111111111111111,0.0,0.0,0.3333333333333333,0.5555555555555556,9,1,0.11111111111111116,positive,joy,9,1,positive,1,0,0,3,5
evenhanhan,2018-01-06 20:53:00,sml-str20,简直 又 误入 了 旅游团 圣地 三星 汤 还有 猪手 都 是 甜 的 甜 的 无法 下咽 的 怪异 后悔 没有 好 好吃 甜品 椰汁 炖 双皮奶 还行 是 热 的 吃 多 了 比较 腻 两个 人 一碗 差不多 哦 猪手 和 三星 汤 只 吃 了 几口 就 扔掉 了 额,一般,一般,一般,518986,2.0,2018,1,5,20,92,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,7,1,0.7142857142857142,positive,joy,7,1,positive,0,0,0,1,6
